Name,Coeff_A,Coeff_B,Coeff_C,Coeff_D
CsCaF3,1.03248239333397E-07,-0.00029592536311807300,-0.019956036031931500,17.254751004838600
NaCoF3,8.97048263201155E-08,-0.00027037596917891600,0.004591053491185220,20.347021397871500
CsSnS3,1.07653121571967E-07,-0.0003039081459303720,-0.043553632461153800,16.436372870824800
RbReO3,6.51415454651216E-08,-0.00022078816464231700,0.01426475994146380,29.034234000177200
KSbO3,6.53675873352092E-08,-0.00021916005573518500,0.007330229348325230,29.347208185082900
TiPbO3,7.5028862816059E-08,-0.00023937473865123000,-0.0017620037512988000,26.96431458073690
CsIO3,9.06840476505188E-08,-0.0002676013993201050,-0.03682925505243230,24.612482388140400
KMgF3,8.38011395421438E-08,-0.0002584887957134780,0.007469095551424060,22.41563604862360
RbBiO3,9.96997255592241E-08,-0.00028854566976311800,-0.01382833728840810,18.73071955572550
CaWN3,5.96433360374641E-08,-0.0002060118839720160,0.008564551817473650,35.135085601743300
InBO3,4.43249197763384E-08,-0.0001718871317085460,0.011732107470557600,45.2801900107047
LaCrO3,6.73072450545356E-08,-0.00022534885906168100,0.013282121436602400,28.081651226350000
LaCoN3,6.66175234801514E-08,-0.000217540044231258,-0.0002805777962087440,36.6942620063263
RbWO3,6.48675291626049E-08,-0.0002202385531724260,0.014133118528816100,29.127693471279600
CaTcN3,5.67447135276132E-08,-0.00020128663517539700,0.013672272839526600,35.23755743614370
CsMgBr3,1.24745932574764E-07,-0.00033649373404965600,-0.07281415144909310,12.263672219441600
CsPbF3,1.14556028674901E-07,-0.0003132468101862230,-0.05416002805726140,13.034629241522800
KNbO3,6.84621490768082E-08,-0.00022621450137050900,0.012797744225303000,28.470810589591200
KZnF3,9.79839599843718E-08,-0.00028592696785319100,-0.007173972289760410,18.55294536383110
BaHfO3,6.96472097141732E-08,-0.00021315462207497600,-0.006524142891547050,20.16279563319040
MgTiO3,5.0848505266217E-08,-0.0001919752471971830,0.02253171949654610,34.170559935868800
LaAlO3,5.87606306986609E-08,-0.0002075853715768700,0.0152270187631997,31.6428662356705
SrWN3,6.36399269711194E-08,-0.0002142082624403670,0.003273897569117960,33.05202238884560
CsSrBr3,1.32945360348804E-07,-0.00035188729219772100,-0.0857862844729647,10.439517182559800
CdSnO3,6.96157068249E-08,-0.0002291251386985600,0.006375844496537720,27.83483143932380
CsGeCl3,1.24099211310317E-07,-0.0003346441787098200,-0.08202975267549170,12.286303930596700
CsMgCl3,1.12937347911454E-07,-0.0003143947516214500,-0.043142081108314200,14.845541683087400
CaCO3,5.11022610090223E-08,-0.00018199527501077400,0.0041692133521234800,46.87246196955160
CsAuSe3,1.20926531433987E-07,-0.000325973197952191,-0.074830067682806,11.805471972694100
RbAuI3,1.35678831804716E-07,-0.000356719516091003,-0.12267605883802200,10.052252261958100
CsCdCl3,1.2661736020088E-07,-0.00034011892900969600,-0.06667336760269770,11.76191957622040
CsBeH3,5.67201955916718E-08,-0.00018722398468303800,-0.02140420467874560,56.64347086535270
LiTaO3,5.90900343867015E-08,-0.00020679644606221700,0.014595038471582600,31.461919798287300
CaSnO3,6.40306211178584E-08,-0.00021868279694091700,0.015493492340155900,29.18485601148390
KMgH3,3.66520221851852E-08,-0.00015393612857429700,0.008291685734625200,50.80204431716920
ScBO3,4.03804114191208E-08,-0.00016466019735495000,0.016953430932811400,45.73572317952580
CsCaH3,5.3171181051643E-08,-0.00018970421625979400,-0.008606554017701200,41.359049905688300
RbSbO3,8.06379934232657E-08,-0.0002517217216274350,0.008528191147674,23.954972374457000
RbBrO3,8.73545372446485E-08,-0.0002608320513230790,-0.03229775381759040,25.96274738438670
MgCO3,3.9509390502145E-08,-0.00015994046152347500,0.015694184670411300,50.87643118244270
RbMgF3,8.70294955696452E-08,-0.00026507288513066500,0.00552341935555799,21.217688792634800
YWN3,5.97285312024693E-08,-0.00020582234434383800,0.007461294584428370,32.98445790251130
CsAuBr3,1.31725774260261E-07,-0.00034937560561808200,-0.10512864498188600,10.87327288507500
RbPbBr3,1.35615984669588E-07,-0.00035678463650895800,-0.09613372231329510,9.935308640284190
RbIO3,8.97568617460348E-08,-0.00026607347032427900,-0.03208214667574220,24.67295467328760
BaLiH3,3.40320196282651E-08,-0.00015127743174818500,0.005968687385479640,47.66802811053000
InGaO3,5.94313267657905E-08,-0.0002089864201563380,0.013665947335706500,31.33004520723310
NaMnF3,9.35018208037061E-08,-0.00027747391107773100,-0.003001380808390210,19.497513760035300
KCaBr3,1.26198921547645E-07,-0.00033945587151749100,-0.05972825288075390,11.760810540219500
BaSeO3,8.04943789499828E-08,-0.0002477576638211750,-0.015310379246829500,26.71365312562270
CsReO3,7.06058010903843E-08,-0.00023229711510491400,0.012742203995049800,26.595863088436600
CsWO3,7.08489430407725E-08,-0.00023258120363579600,0.011517864223501000,26.71568639579300
CsBiO3,1.03150689260008E-07,-0.00029585251339329100,-0.013198174765370000,17.20093281249220
AlBiO3,6.1928778126442E-08,-0.0002139152229550860,0.00943575286171529,30.537225700488000
KTaO3,5.92772658241238E-08,-0.000186726343069505,0.005907841215772880,19.473387745811500
NaBiO3,7.27227545510157E-08,-0.0002349964725049130,0.004892911176947640,26.282939949720800
ReTlO3,7.40122035827452E-08,-0.00023816406785139900,0.0022395205802556800,26.370558481452300
YVO3,6.48691027138969E-08,-0.0002209012071713120,0.016973646463804,28.465938307655600
RbAuBr3,1.30637707537444E-07,-0.00034738535634019400,-0.09981202408886390,11.07630084678570
RbCaH3,5.73160952314567E-08,-0.00019732529027769100,-0.008249788457717510,41.21891445663550
CsSbO3,8.88828543220692E-08,-0.00026869738454403300,0.005481252188486870,20.697116553386700
MgSiO3,3.63271942706267E-08,-0.00016142138066476300,0.023187796689306300,40.56141431130910
CsBrO3,8.89432730478193E-08,-0.00026360433428795900,-0.04157218105537940,25.629305695019900
NaCdF3,9.37259555531543E-08,-0.00027804645216087000,-0.001442848552141480,19.35016826442180
NaMgF3,7.7135432393253E-08,-0.0002458616070297420,0.016044189943182400,23.99705984298060
CsCdF3,1.08670340480365E-07,-0.00030622351305863200,-0.026801031018215200,15.953823599597600
LaScO3,7.05937165732025E-08,-0.0002319000092868540,0.010915684810949400,27.00269029106120
LiSbO3,5.04066536736226E-08,-0.00018976534539766800,0.01758607545165410,34.034531699851400
NaSbO3,6.1053052070031E-08,-0.0002112057953757920,0.01198217025060160,30.861437596332600
TlIO3,9.18423500069739E-08,-0.00027009865244255500,-0.044715253687652200,24.00136566231840
CsAuI3,1.36767297350243E-07,-0.00035868405208394100,-0.13187653105958200,9.868469033652880
BaLiF3,8.86102821880866E-08,-0.00026780708150816500,-7.60757052712079E-05,21.074258360022
CsAuCl3,1.21581784886538E-07,-0.00033020283115454900,-0.08045132205262500,13.24872224451310
RbPbCl3,1.27846125166763E-07,-0.00034251256494138900,-0.06656846302695550,11.421268212007600
LiAsO3,4.46713554043745E-08,-0.0001780859635715290,0.020463854421299100,36.39800066600990
TiCdO3,6.61867860400526E-08,-0.0002218779222471460,0.008826573519822970,29.07244311394320
NaNbO3,6.55162995240048E-08,-0.0002179665610130910,0.011916317138948800,28.631358535026900
LiNbO3,5.66365897109149E-08,-0.00020066451822054500,0.017649713236893200,31.15845885603710
TlCrO3,7.14007206577176E-08,-0.00023358797566089700,0.007754862040310800,26.60880601953820
BaTiO3,7.03035871699635E-08,-0.0002306447784972200,0.009301150197309400,27.76126217716960