Name,Z,M,G,IEI,IEII,EA,ChiP,ChiA,Rvdw,Rc,Ra,Rpp_s,Rpp_p,Rpp_d,MP,BP,Rho,MV,Hf,Hv,Kappa,CvM,B,MendeleevNo,PoissonsRatio,Kbulk,YoungsModulus,CoefficientOfLinearThermalExpansion,AverageCationicRadius,AverageAnionicRadius
Ac,89,227,3,5.17,11.75,33.77,1.1,,2.47,215,1.95,,,,1323,3573,10070,22.55,12,400,12,0.12,f,48,,,,,1.26,0
Ag,47,107.8682,11,7.57623,21.47746,125.6,1.93,1.87,2.11,145,1.6,1.045,1.33,0.385,1234.93,2435,10490,10.27,11.3,255,430,0.235,d,71,0.37,100,83,0.0000189,1.08666666666667,0
Al,13,26.9815386,13,5.985768,18.82855,42.5,1.61,1.613,1.84,121,1.25,0.77,0.905,,933.47,2792,2700,10,10.71,293,235,0.897,p,80,0.35,76,70,0.0000231,0.675,0
As,33,74.9216,15,9.7886,18.5892,78,2.18,2.211,1.85,119,1.15,0.67,0.745,0.155,1090,887,5727,12.95,24.44,32.4,50,0.329,p,89,,22,8,,0.66,0
Au,79,196.966569,11,9.22553,20.2,222.8,2.54,,2.14,136,1.35,1.21,1.45,0.488,1337.33,3129,19300,10.21,12.55,330,320,0.129,d,70,0.44,220,78,0.0000142,1.07,0
B,5,10.811,13,8.29802,25.1548,26.7,2.04,2.051,1.92,84,0.85,0.48,0.315,,2349,4200,2460,4.39,50.2,507,27,1.026,p,86,,320,,0.000006,0.41,0
Ba,56,137.327,2,5.211664,10.00383,13.95,0.89,0.881,2.68,215,2.15,1.515,1.887,0.94,1000,2143,3510,38.16,7.12,140,18,0.204,s,14,,9.6,13,0.0000206,1.49,0
Be,4,9.012182,2,9.3227,18.21114,0,1.57,1.576,1.53,96,1.05,0.64,0.44,,1560,2742,1848,4.85,7.895,297,190,1.825,s,77,0.032,130,287,0.0000113,0.59,0
Bi,83,208.9804,15,7.2855,16.703,91.2,2.02,,2.07,148,1.6,0.92,1.077,0.438,544.4,1837,9780,21.31,11.106,160,8,0.122,p,87,0.33,31,32,0.0000134,1.035,0
Br,35,79.904,17,11.8138,21.591,324.6,2.96,2.685,1.85,120,1.15,0.58,0.62,0.143,265.8,332,3120,19.78,5.285,14.8,0.12,0.474,p,98,,1.9,,,0.57,1.82
C,6,12.0107,14,11.2603,24.3833,153.9,2.55,2.544,1.7,76,0.7,0.39,0.25,,3800,4300,2267,5.29,117.4,715,140,0.709,p,95,,33,,0.0000071,0.3,0
Ca,20,40.078,2,6.11316,11.87172,2.37,1,1.034,2.31,176,1.8,1.32,1.68,0.34,1115,1757,1550,26.2,8.54,155,200,0.647,s,16,0.31,17,20,0.0000223,1.14,0
Cd,48,112.411,12,8.99382,16.90831,0,1.69,1.52,2.18,144,1.55,0.985,1.23,0.37,594.22,1040,8650,13,6.21,100,97,0.231,d,75,0.3,42,50,0.0000308,1.09,0
Ce,58,140.116,3,5.5387,10.85,50,1.12,1.16,2.42,204,1.85,,,,1068,3633,6689,20.69,5.46,350,11,0.192,f,32,0.24,22,34,0.0000063,1.08,0
Cl,17,35.453,17,12.96763,23.8136,349,3.16,2.869,1.75,102,1,0.5,0.51,,171.6,239.11,3214,17.39,3.2,10.2,0.0089,0.479,p,99,,1.1,,,0.335,1.67
Co,27,58.933195,9,7.88101,17.084,63.7,1.88,1.84,2,126,1.35,0.92,1.1,0.21,1768,3200,8900,6.67,16.2,375,100,0.421,d,64,0.31,180,209,0.000013,0.768333333333333,0
Cr,24,51.9961,6,6.76651,16.4857,64.3,1.66,1.65,2.06,139,1.4,1.07,1.37,0.25,2180,2944,7140,7.23,21,339,94,0.449,d,57,0.21,160,279,0.0000049,0.94,0
Cs,55,132.9054519,1,3.893905,23.15744,45.5,0.79,0.659,3.43,244,2.6,1.71,2.6,,301.59,944,1879,70.94,2.09,65,36,0.242,s,8,,1.6,1.7,,1.81,0
Cu,29,63.546,11,7.72638,20.2924,118.4,1.9,1.85,1.96,132,1.35,0.88,1.16,0.185,1357.77,3200,8920,7.11,13.6,300,400,0.385,d,72,0.34,140,130,0.0000165,0.82,0
Dy,66,162.5,3,5.9389,11.67,50,1.22,1.76,2.31,192,1.75,,,,1680,2840,8551,19.01,11.35,280,11,0.173,f,24,0.25,41,61,0.0000099,1.131,0
Er,68,167.259,3,6.1077,11.93,50,1.24,1.854,2.29,189,1.75,,,,1802,3141,9066,18.46,19.9,285,15,0.168,f,22,0.24,44,70,0.0000122,1.03,0
Eu,63,151.964,3,5.67038,11.25,50,1.2,1.68,2.35,198,1.85,,,,1099,1800,5244,28.97,9.21,175,14,0.182,f,18,0.15,8.3,18,0.000035,1.1985,0
F,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,0.25,0.155,,53.53,85.03,1696,11.2,0.255,3.27,0.0277,0.824,p,102,,,,,0.22,1.19
Fe,26,55.845,8,7.9024,16.1877,15.7,1.83,1.8,2.04,132,1.4,0.95,1.16,0.22,1811,3134,7874,7.09,13.81,347,80,0.449,d,61,0.29,170,211,0.0000118,0.8525,0
Ga,31,69.723,13,5.999301,20.51515,28.9,1.81,1.756,1.87,122,1.3,0.76,0.935,0.17,302.91,2477,5904,11.8,5.585,256,29,0.373,p,81,,,,0.00012,0.76,0
Gd,64,157.25,3,6.1498,12.09,50,1.2,1.72,2.34,196,1.8,,,,1585,3523,7901,19.9,9.67,305,11,0.235,f,27,0.26,38,55,0.0000094,1.075,0
Ge,32,72.64,14,7.89943,15.93461,119,2.01,1.994,2.11,120,1.25,0.72,0.84,0.16,1211.4,3093,5323,13.63,36.94,334,60,0.32,p,84,,,,0.000006,0.77,0
H,1,1.00794,1,13.598443,1000,72.8,2.2,2.3,1.1,31,0.25,,,,14.01,20.28,89.9,11.42,0.06,0.452,0.1805,14.304,s,103,,,,,0,0
Hf,72,178.49,4,6.82507,15,0,1.3,2.6,2.23,175,1.55,1.3,1.61,0.63,2506,4876,13310,13.44,27.2,630,23,0.144,d,50,0.37,110,78,0.0000059,0.85,0
Hg,80,200.59,12,10.4375,18.7568,0,2,,2.23,132,1.5,1.07,1.34,0.475,234.32,629.88,13534,14.09,2.295,59.2,8.3,0.14,d,74,,25,,,1.245,0
Ho,67,164.93032,3,6.0215,11.8,50,1.23,1.789,2.3,192,1.75,,,,1734,2993,8795,18.74,11.76,265,16,0.165,f,23,0.23,40,65,0.0000112,1.041,0
I,53,126.90447,17,10.45126,19.1313,295.2,2.66,2.359,1.98,139,1.4,0.755,0.83,0.315,386.85,457.4,4940,25.72,7.76,20.9,0.449,0.214,p,97,,7.7,,,0.88,2.06
In,49,114.818,13,5.78636,18.8703,28.9,1.78,1.656,1.93,142,1.55,0.94,1.11,0.36,429.75,2345,7310,15.76,3.291,230,82,0.233,p,79,,,11,0.0000321,0.94,0
Ir,77,192.217,9,8.96702,16.5,151,2.2,,2.13,141,1.35,1.16,1.468,0.526,2739,4701,22650,8.52,41.12,560,150,0.131,d,66,0.26,320,528,0.0000064,0.765,0
K,19,39.0983,1,4.3406633,31.63,48.4,0.82,0.734,2.75,203,2.2,1.54,2.15,0.37,336.53,1032,856,45.94,2.335,76.9,100,0.757,s,10,,3.1,,,1.52,0
La,57,138.90547,3,5.5769,11.059,48,1.1,1.09,2.43,207,1.95,1.375,1.705,0.874,1193,3743,6146,22.39,6.2,400,13,0.195,f,33,0.28,28,37,0.0000121,1.172,0
Li,3,6.941,1,5.391719,75.64,59.6,0.98,0.912,1.82,128,1.45,0.985,0.625,,453.69,1615,535,13.02,3,147,85,3.582,s,12,,11,4.9,0.000046,0.9,0
Lu,71,174.967,3,5.42586,13.9,50,1.27,2.39,2.24,187,1.75,,,,1925,3675,9841,17.78,18.65,415,16,0.154,d,20,0.26,48,69,0.0000099,1.001,0
Mg,12,24.305,2,7.646235,15.03527,0,1.31,1.293,1.73,141,1.5,0.9,1.13,,923,1363,1738,14,8.48,128,160,1.023,s,73,0.29,45,45,0.0000082,0.86,0
Mn,25,54.938045,7,7.43402,15.64,0,1.55,1.75,2.05,139,1.4,0.99,1.23,0.23,1519,2334,7470,7.35,12.91,220,7.8,0.479,d,60,,120,198,0.0000217,0.648333333333333,0
Mo,42,95.94,6,7.09243,16.16,71.9,2.16,1.47,2.17,154,1.45,1.22,1.5,0.49,2896,4912,10280,9.38,37.48,600,139,0.251,d,56,0.31,230,329,0.0000048,0.775,0
N,7,14.0067,15,14.5341,29.6013,7,3.04,3.066,1.55,71,0.65,0.33,0.21,,63.05,77.36,1251,13.54,0.355,2.79,0.02583,1.04,p,100,,,,,0.285,1.32
Na,11,22.98976928,1,5.139076,47.2864,52.8,0.93,0.869,2.27,166,1.8,1.1,1.55,,370.87,1156,968,23.78,2.6,97.7,140,1.228,s,11,,6.3,10,0.000071,1.16,0
Nb,41,92.90638,5,6.75885,14,86.1,1.6,1.41,2.18,164,1.45,1.23,1.53,0.51,2750,5017,8570,10.83,30,690,54,0.265,d,53,0.4,170,105,0.0000073,0.82,0
Nd,60,144.242,3,5.525,10.72,50,1.14,1.47,2.39,201,1.85,,,,1297,3373,6800,20.59,7.14,285,17,0.19,f,30,0.28,32,41,0.0000096,1.2765,0
Ni,28,58.6934,10,7.6398,18.16884,112,1.91,1.88,1.97,124,1.35,0.96,1.22,0.195,1728,3186,8908,6.59,17.48,378,91,0.444,d,67,0.31,180,200,0.0000134,0.74,0
Np,93,237,3,6.2657,,45.85,1.36,,2.39,190,1.75,,,,910,4273,20450,11.59,3.2,335,6,0.12,f,44,,,,,1,0
O,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,0.285,0.18,,54.8,90.2,1429,17.36,0.22,3.41,0.02658,0.918,p,101,,,,,0,1.26
Os,76,190.23,8,8.43823,16.5,106.1,2.2,,2.16,144,1.3,1.17,1.48,0.543,3306,5285,22610,8.42,57.85,630,88,0.13,d,63,0.25,,,0.0000051,0.673,0
P,15,30.973762,15,10.48669,19.7695,72,2.19,2.253,1.8,107,1,0.6,0.64,,317.3,550,1823,17.02,18.54,12.4,0.236,0.769,p,90,,11,,,0.55,0
Pa,91,231.03588,3,5.89,,53.03,1.5,,2.1,200,1.8,,,,1841,4273,15370,15.18,12.34,470,47,0.12,f,46,,,,,1.04,0
Pb,82,207.2,14,7.41663,15.03248,35.1,2.33,,2.02,146,1.8,0.96,1.13,0.45,600.61,2022,11340,18.26,4.774,178,35,0.13,p,82,0.44,46,16,0.0000289,1.1225,0
Pd,46,106.42,10,8.3369,19.43,53.7,2.2,1.58,2.1,139,1.4,1.08,1.37,0.4,1828.05,3236,12023,8.56,16.74,380,72,0.244,d,69,0.39,180,121,0.0000118,0.84625,0
Pm,61,145,3,5.582,10.9,50,1.13,1.6,2.38,199,1.85,,,,1373,3273,7264,20.23,,290,15,0.18,f,29,0.28,33,46,0.000011,1.11,0
Pr,59,140.90765,3,5.473,10.55,50,1.13,1.34,2.4,203,1.85,,,,1208,3563,6640,20.8,6.89,330,13,0.193,f,31,0.28,29,37,0.0000067,1.06,0
Pt,78,195.084,10,8.9588,18.563,205.3,2.28,,2.13,136,1.35,1.24,1.46,0.51,2041.4,4098,21090,9.09,22.175,490,72,0.133,d,68,0.38,230,168,0.0000088,0.805,0
Pu,94,244,3,6.026,11.2,âˆ’48.33,1.28,,2.43,187,1.75,,,,912.5,3503,19816,12.29,2.824,325,6,0.13,f,43,0.21,,96,,0.9675,0
Rb,37,85.4678,1,4.177128,27.2895,46.9,0.82,0.706,3.03,220,2.35,1.67,2.43,0.71,312.46,961,1532,55.76,2.19,72,58,0.363,s,9,,2.5,2.4,,1.66,0
Re,75,186.207,7,7.83352,13,14.5,1.9,,2.16,151,1.35,1.19,1.49,0.565,3459,5869,21020,8.86,34.08,705,48,0.137,d,58,0.3,370,463,0.0000062,0.7125,0
Rh,45,102.9055,9,7.4589,18.08,109.7,2.28,1.56,2.1,142,1.35,1.11,1.41,0.42,2237,3968,12450,8.28,26.59,495,150,0.243,d,65,0.26,380,275,0.0000082,0.745,0
Ru,44,101.07,8,7.3605,16.76,101.3,2.2,1.54,2.13,146,1.3,1.145,1.46,0.45,2607,4423,12370,8.17,38.59,580,120,0.238,d,62,0.3,220,447,0.0000064,0.661,0
S,16,32.065,16,10.36001,23.33788,200,2.58,2.589,1.8,105,1,0.54,0.56,,388.36,717.87,1960,15.53,1.721,9.8,0.205,0.708,p,94,,7.7,,,0.47,1.7
Sb,51,121.76,15,8.60839,16.63,103.2,2.05,1.984,2.06,139,1.45,0.83,0.935,0.335,903.78,1860,6697,18.19,19.79,68,24,0.207,p,88,,42,55,0.000011,0.83,0
Sc,21,44.955912,3,6.56149,12.79977,18.1,1.36,1.19,2.15,170,1.6,1.22,1.53,0.31,1814,3103,2985,15,14.1,318,16,0.568,d,19,0.28,57,74,0.0000102,0.885,0
Se,34,78.96,16,9.75239,21.19,195,2.55,2.424,1.9,120,1.15,0.615,0.67,0.15,494,958,4819,16.42,6.69,26,0.52,0.321,p,93,0.33,8.3,10,,0.6,1.84
Si,14,28.0855,14,8.15168,16.34584,133.6,1.9,1.916,2.1,111,1.1,0.68,0.74,,1687,3173,2330,12.06,50.21,359,150,0.712,p,85,,100,47,0.0000026,0.54,0
Sm,62,150.36,3,5.6437,11.07,50,1.17,1.65,2.36,198,1.85,,,,1345,2076,7353,19.98,8.62,175,13,0.196,f,28,0.27,38,50,0.0000127,1.229,0
Sn,50,118.71,14,7.34392,14.6322,107.3,1.96,1.824,2.17,139,1.45,0.88,1,0.345,505.08,2875,7310,16.29,7.15,290,67,0.227,p,83,0.36,58,50,0.000022,0.83,0
Sr,38,87.62,2,5.69485,11.0301,5.03,0.95,0.963,2.49,195,2,1.42,1.79,0.633,1050,1655,2630,33.94,7.43,137,35,0.306,s,15,0.28,,,0.0000225,1.32,0
Ta,73,180.94788,5,7.54957,15,31,1.5,0.67,2.22,170,1.45,1.25,1.54,0.605,3290,5731,16650,10.85,36.57,735,57,0.14,d,52,0.34,200,186,0.0000063,0.82,0
Tb,65,158.92535,3,5.8638,11.52,50,1.1,1.92,2.33,194,1.75,,,,1629,3503,8219,19.3,10.15,295,11,0.182,f,26,0.26,38.7,56,0.0000103,0.9815,0
Tc,43,98,7,7.28,15.26,53,1.9,1.51,2.16,147,1.35,1.16,1.49,0.455,2430,4538,11500,8.63,33.29,550,51,0.21,d,59,,,,,0.741666666666667,0
Te,52,127.6,16,9.0096,18.6,190.2,2.1,2.158,2.06,138,1.4,0.79,0.88,0.325,722.66,1261,6240,20.46,17.38,48,3,0.202,p,92,,65,43,,0.905,2.07
Th,90,232.03806,3,6.3067,11.9,58.63,1.3,,2.45,206,1.8,,,,2115,5093,11724,19.8,13.81,530,54,0.118,f,47,0.27,54,79,0.000011,1.08,0
Ti,22,47.867,4,6.82812,13.5755,7.6,1.54,1.38,2.11,160,1.4,1.15,1.43,0.28,1941,3560,4507,10.64,14.15,425,22,0.524,d,51,0.32,110,116,0.0000086,0.851666666666667,0
Tl,81,204.3833,13,6.108194,20.4283,19.2,1.62,,1.96,145,1.9,1.015,1.22,0.463,577,1746,11850,17.22,4.142,165,46,0.129,p,78,0.45,43,8,0.0000299,1.3325,0
Tm,69,168.93421,3,6.18431,12.05,50,1.25,2.01,2.27,190,1.75,,,,1818,2223,9321,19.1,16.84,250,17,0.16,f,21,0.21,45,74,0.0000133,1.095,0
U,92,238.02891,3,6.1941,10.6,30.39,1.38,,2.41,196,1.75,,,,1405.3,4200,19050,12.49,9.14,420,27,0.116,f,45,0.23,100,208,0.0000139,0.99125,0
V,23,50.9415,5,6.74619,14.618,50.6,1.63,1.53,2.07,153,1.35,1.09,1.34,0.26,2183,3680,6110,8.32,21.5,453,31,0.489,d,54,0.37,160,128,0.0000084,0.7775,0
W,74,183.84,6,7.86403,16.1,78.6,2.36,0.89,2.18,162,1.35,1.22,1.515,0.59,3695,5828,19250,9.47,52.31,800,170,0.132,d,55,0.28,310,411,0.0000045,0.766666666666667,0
Y,39,88.90585,3,6.2173,12.224,29.6,1.22,1.12,2.32,190,1.8,1.32,1.62,0.58,1799,3609,4472,19.88,11.39,380,17,0.298,d,25,0.24,41,64,0.0000106,1.04,0
Yb,70,173.04,3,6.25416,12.176,50,1.1,2.19,2.26,187,1.75,,,,1097,1469,6570,24.84,7.66,160,39,0.155,f,17,0.21,31,24,0.0000263,1.084,0
Zn,30,65.409,12,9.394199,17.96439,0,1.65,1.59,2.01,122,1.35,0.82,1.06,0.175,692.68,1180,7140,9.16,7.068,119,120,0.388,d,76,0.25,70,108,0.0000302,0.88,0
Zr,40,91.224,4,6.6339,13.1,41.1,1.33,1.32,2.23,175,1.55,1.265,1.56,0.54,2128,4682,6511,14.02,21,580,23,0.278,d,49,0.34,,68,0.0000057,0.86,0
