Name,A_site,B_site,X_site,v_A,s_A,v_B,s_B,s_X,v_X
NpTiO3,Np,Ti,O,,,,,1.42,-2
PmTiO3,Pm,Ti,O,3.0,1.144,,,1.42,-2
PrTiO3,Pr,Ti,O,,,,,1.42,-2
PuTiO3,Pu,Ti,O,,,,,1.42,-2
ScTiO3,Sc,Ti,O,3.0,0.87,,,1.42,-2
SmTiO3,Sm,Ti,O,,,,,1.42,-2
SrTiO3,Sr,Ti,O,2.0,1.44,,,1.42,-2
TbTiO3,Tb,Ti,O,,,,,1.42,-2
TmTiO3,Tm,Ti,O,,,,,1.42,-2
UTiO3,U,Ti,O,,,,,1.42,-2
YTiO3,Y,Ti,O,3.0,1.075,,,1.42,-2
YbTiO3,Yb,Ti,O,,,,,1.42,-2
ZrTiO3,Zr,Ti,O,4.0,0.89,,,1.42,-2
AcVO3,Ac,V,O,3.0,1.12,,,1.42,-2
AlVO3,Al,V,O,3.0,0.535,,,1.42,-2
BaVO3,Ba,V,O,2.0,1.61,,,1.42,-2
BeVO3,Be,V,O,2.0,0.45,,,1.42,-2
CaVO3,Ca,V,O,2.0,1.34,,,1.42,-2
CeVO3,Ce,V,O,,,,,1.42,-2
CsVO3,Cs,V,O,1.0,1.88,,,1.42,-2
DyVO3,Dy,V,O,,,,,1.42,-2
ErVO3,Er,V,O,3.0,1.062,,,1.42,-2
EuVO3,Eu,V,O,,,,,1.42,-2
GdVO3,Gd,V,O,3.0,1.107,,,1.42,-2
HoVO3,Ho,V,O,3.0,1.12,,,1.42,-2
KVO3,K,V,O,1.0,1.64,,,1.42,-2
LaVO3,La,V,O,3.0,1.36,,,1.42,-2
LiVO3,Li,V,O,1.0,0.92,,,1.42,-2
LuVO3,Lu,V,O,3.0,1.032,,,1.42,-2
MgVO3,Mg,V,O,2.0,0.89,,,1.42,-2
MnVO3,Mn,V,O,,,,,1.42,-2
NaVO3,Na,V,O,1.0,1.39,,,1.42,-2
NdVO3,Nd,V,O,,,,,1.42,-2
PrVO3,Pr,V,O,,,,,1.42,-2
PuVO3,Pu,V,O,,,,,1.42,-2
RbVO3,Rb,V,O,1.0,1.72,,,1.42,-2
ScVO3,Sc,V,O,3.0,0.87,,,1.42,-2
SmVO3,Sm,V,O,,,,,1.42,-2
SrVO3,Sr,V,O,2.0,1.44,,,1.42,-2
TbVO3,Tb,V,O,,,,,1.42,-2
TiVO3,Ti,V,O,,,,,1.42,-2
TlVO3,Tl,V,O,,,,,1.42,-2
TmVO3,Tm,V,O,,,,,1.42,-2
YVO3,Y,V,O,3.0,1.075,,,1.42,-2
YbVO3,Yb,V,O,,,,,1.42,-2
AgAsO3,Ag,As,O,,,,,1.42,-2
CeAsO3,Ce,As,O,,,,,1.42,-2
CsAsO3,Cs,As,O,1.0,1.88,,,1.42,-2
CuAsO3,Cu,As,O,,,,,1.42,-2
EuAsO3,Eu,As,O,,,,,1.42,-2
FeAsO3,Fe,As,O,,,,,1.42,-2
GdAsO3,Gd,As,O,3.0,1.107,,,1.42,-2
InAsO3,In,As,O,3.0,0.92,,,1.42,-2
KAsO3,K,As,O,1.0,1.64,,,1.42,-2
LaAsO3,La,As,O,3.0,1.36,,,1.42,-2
LiAsO3,Li,As,O,1.0,0.92,,,1.42,-2
NaAsO3,Na,As,O,1.0,1.39,,,1.42,-2
NiAsO3,Ni,As,O,,,,,1.42,-2
RbAsO3,Rb,As,O,1.0,1.72,,,1.42,-2
SbAsO3,Sb,As,O,,,,,1.42,-2
ScAsO3,Sc,As,O,3.0,0.87,,,1.42,-2
SrAsO3,Sr,As,O,2.0,1.44,,,1.42,-2
AgAuO3,Ag,Au,O,,,,,1.42,-2
AlAuO3,Al,Au,O,3.0,0.535,,,1.42,-2
AsAuO3,As,Au,O,,,,,1.42,-2
BaAuO3,Ba,Au,O,2.0,1.61,,,1.42,-2
BAuO3,B,Au,O,3.0,0.27,,,1.42,-2
BeAuO3,Be,Au,O,2.0,0.45,,,1.42,-2
CoAuO3,Co,Au,O,,,,,1.42,-2
CsAuO3,Cs,Au,O,1.0,1.88,,,1.42,-2
EuAuO3,Eu,Au,O,,,,,1.42,-2
KAuO3,K,Au,O,1.0,1.64,,,1.42,-2
LaAuO3,La,Au,O,3.0,1.36,,,1.42,-2
PbAuO3,Pb,Au,O,,,,,1.42,-2
RbAuO3,Rb,Au,O,1.0,1.72,,,1.42,-2
SbAuO3,Sb,Au,O,,,,,1.42,-2
SrAuO3,Sr,Au,O,2.0,1.44,,,1.42,-2
YbAuO3,Yb,Au,O,,,,,1.42,-2
ZnAuO3,Zn,Au,O,2.0,0.9,,,1.42,-2
AgBiO3,Ag,Bi,O,,,,,1.42,-2
AlBiO3,Al,Bi,O,3.0,0.535,,,1.42,-2
BaBiO3,Ba,Bi,O,2.0,1.61,,,1.42,-2
BeBiO3,Be,Bi,O,2.0,0.45,,,1.42,-2
CaBiO3,Ca,Bi,O,2.0,1.34,,,1.42,-2
CdBiO3,Cd,Bi,O,2.0,1.31,,,1.42,-2
CoBiO3,Co,Bi,O,,,,,1.42,-2
CrBiO3,Cr,Bi,O,,,,,1.42,-2
CsBiO3,Cs,Bi,O,1.0,1.88,,,1.42,-2
CuBiO3,Cu,Bi,O,,,,,1.42,-2
DyBiO3,Dy,Bi,O,,,,,1.42,-2
ErBiO3,Er,Bi,O,3.0,1.062,,,1.42,-2
FeBiO3,Fe,Bi,O,,,,,1.42,-2
GaBiO3,Ga,Bi,O,3.0,0.62,,,1.42,-2
GeBiO3,Ge,Bi,O,,,,,1.42,-2
HoBiO3,Ho,Bi,O,3.0,1.12,,,1.42,-2
InBiO3,In,Bi,O,3.0,0.92,,,1.42,-2
KBiO3,K,Bi,O,1.0,1.64,,,1.42,-2
LaBiO3,La,Bi,O,3.0,1.36,,,1.42,-2
LiBiO3,Li,Bi,O,1.0,0.92,,,1.42,-2
LuBiO3,Lu,Bi,O,3.0,1.032,,,1.42,-2
MgBiO3,Mg,Bi,O,2.0,0.89,,,1.42,-2
MnBiO3,Mn,Bi,O,,,,,1.42,-2
NaBiO3,Na,Bi,O,1.0,1.39,,,1.42,-2
NbBiO3,Nb,Bi,O,,,,,1.42,-2
NdBiO3,Nd,Bi,O,,,,,1.42,-2
NiBiO3,Ni,Bi,O,,,,,1.42,-2
PrBiO3,Pr,Bi,O,,,,,1.42,-2
RbBiO3,Rb,Bi,O,1.0,1.72,,,1.42,-2
ReBiO3,Re,Bi,O,,,,,1.42,-2
ScBiO3,Sc,Bi,O,3.0,0.87,,,1.42,-2
SiBiO3,Si,Bi,O,4.0,0.4,,,1.42,-2
SrBiO3,Sr,Bi,O,2.0,1.44,,,1.42,-2
TmBiO3,Tm,Bi,O,,,,,1.42,-2
VBiO3,V,Bi,O,,,,,1.42,-2
YBiO3,Y,Bi,O,3.0,1.075,,,1.42,-2
YbBiO3,Yb,Bi,O,,,,,1.42,-2
ZnBiO3,Zn,Bi,O,2.0,0.9,,,1.42,-2
AgBrO3,Ag,Br,O,,,,,1.42,-2
CsBrO3,Cs,Br,O,1.0,1.88,,,1.42,-2
KBrO3,K,Br,O,1.0,1.64,,,1.42,-2
LiBrO3,Li,Br,O,1.0,0.92,,,1.42,-2
NaBrO3,Na,Br,O,1.0,1.39,,,1.42,-2
RbBrO3,Rb,Br,O,1.0,1.72,,,1.42,-2
TlBrO3,Tl,Br,O,,,,,1.42,-2
AgClO3,Ag,Cl,O,,,,,1.42,-2
BaClO3,Ba,Cl,O,2.0,1.61,,,1.42,-2
CsClO3,Cs,Cl,O,1.0,1.88,,,1.42,-2
KClO3,K,Cl,O,1.0,1.64,,,1.42,-2
MnClO3,Mn,Cl,O,,,,,1.42,-2
NaClO3,Na,Cl,O,1.0,1.39,,,1.42,-2
RbClO3,Rb,Cl,O,1.0,1.72,,,1.42,-2
ReClO3,Re,Cl,O,,,,,1.42,-2
TlClO3,Tl,Cl,O,,,,,1.42,-2
AgCO3,Ag,C,O,,,4.0,0.16,1.42,-2
BaCO3,Ba,C,O,2.0,1.61,4.0,0.16,1.42,-2
BiCO3,Bi,C,O,,,4.0,0.16,1.42,-2
CaCO3,Ca,C,O,2.0,1.34,4.0,0.16,1.42,-2
CdCO3,Cd,C,O,2.0,1.31,4.0,0.16,1.42,-2
CoCO3,Co,C,O,,,4.0,0.16,1.42,-2
CuCO3,Cu,C,O,,,4.0,0.16,1.42,-2
EuCO3,Eu,C,O,,,4.0,0.16,1.42,-2
FeCO3,Fe,C,O,,,4.0,0.16,1.42,-2
KCO3,K,C,O,1.0,1.64,4.0,0.16,1.42,-2
MgCO3,Mg,C,O,2.0,0.89,4.0,0.16,1.42,-2
MnCO3,Mn,C,O,,,4.0,0.16,1.42,-2
NaCO3,Na,C,O,1.0,1.39,4.0,0.16,1.42,-2
NiCO3,Ni,C,O,,,4.0,0.16,1.42,-2
PbCO3,Pb,C,O,,,4.0,0.16,1.42,-2
RbCO3,Rb,C,O,1.0,1.72,4.0,0.16,1.42,-2
SrCO3,Sr,C,O,2.0,1.44,4.0,0.16,1.42,-2
TbCO3,Tb,C,O,,,4.0,0.16,1.42,-2
YbCO3,Yb,C,O,,,4.0,0.16,1.42,-2
ZnCO3,Zn,C,O,2.0,0.9,4.0,0.16,1.42,-2
AgGeO3,Ag,Ge,O,,,,,1.42,-2
BaGeO3,Ba,Ge,O,2.0,1.61,,,1.42,-2
BeGeO3,Be,Ge,O,2.0,0.45,,,1.42,-2
CaGeO3,Ca,Ge,O,2.0,1.34,,,1.42,-2
CdGeO3,Cd,Ge,O,2.0,1.31,,,1.42,-2
CoGeO3,Co,Ge,O,,,,,1.42,-2
CrGeO3,Cr,Ge,O,,,,,1.42,-2
CsGeO3,Cs,Ge,O,1.0,1.88,,,1.42,-2
CuGeO3,Cu,Ge,O,,,,,1.42,-2
EuGeO3,Eu,Ge,O,,,,,1.42,-2
FeGeO3,Fe,Ge,O,,,,,1.42,-2
GaGeO3,Ga,Ge,O,3.0,0.62,,,1.42,-2
HoGeO3,Ho,Ge,O,3.0,1.12,,,1.42,-2
LiGeO3,Li,Ge,O,1.0,0.92,,,1.42,-2
LuGeO3,Lu,Ge,O,3.0,1.032,,,1.42,-2
MgGeO3,Mg,Ge,O,2.0,0.89,,,1.42,-2
MnGeO3,Mn,Ge,O,,,,,1.42,-2
NaGeO3,Na,Ge,O,1.0,1.39,,,1.42,-2
NdGeO3,Nd,Ge,O,,,,,1.42,-2
RbGeO3,Rb,Ge,O,1.0,1.72,,,1.42,-2
SiGeO3,Si,Ge,O,4.0,0.4,,,1.42,-2
SmGeO3,Sm,Ge,O,,,,,1.42,-2
SnGeO3,Sn,Ge,O,4.0,0.81,,,1.42,-2
SrGeO3,Sr,Ge,O,2.0,1.44,,,1.42,-2
TbGeO3,Tb,Ge,O,,,,,1.42,-2
TiGeO3,Ti,Ge,O,,,,,1.42,-2
TlGeO3,Tl,Ge,O,,,,,1.42,-2
TmGeO3,Tm,Ge,O,,,,,1.42,-2
VGeO3,V,Ge,O,,,,,1.42,-2
YbGeO3,Yb,Ge,O,,,,,1.42,-2
ZnGeO3,Zn,Ge,O,2.0,0.9,,,1.42,-2
AgIO3,Ag,I,O,,,,,1.42,-2
CsIO3,Cs,I,O,1.0,1.88,,,1.42,-2
KIO3,K,I,O,1.0,1.64,,,1.42,-2
LaIO3,La,I,O,3.0,1.36,,,1.42,-2
LiIO3,Li,I,O,1.0,0.92,,,1.42,-2
NaIO3,Na,I,O,1.0,1.39,,,1.42,-2
RbIO3,Rb,I,O,1.0,1.72,,,1.42,-2
TlIO3,Tl,I,O,,,,,1.42,-2
AgPbO3,Ag,Pb,O,,,,,1.42,-2
AlPbO3,Al,Pb,O,3.0,0.535,,,1.42,-2
BaPbO3,Ba,Pb,O,2.0,1.61,,,1.42,-2
BPbO3,B,Pb,O,3.0,0.27,,,1.42,-2
BePbO3,Be,Pb,O,2.0,0.45,,,1.42,-2
CaPbO3,Ca,Pb,O,2.0,1.34,,,1.42,-2
CdPbO3,Cd,Pb,O,2.0,1.31,,,1.42,-2
CePbO3,Ce,Pb,O,,,,,1.42,-2
CoPbO3,Co,Pb,O,,,,,1.42,-2
CrPbO3,Cr,Pb,O,,,,,1.42,-2
CsPbO3,Cs,Pb,O,1.0,1.88,,,1.42,-2
CuPbO3,Cu,Pb,O,,,,,1.42,-2
EuPbO3,Eu,Pb,O,,,,,1.42,-2
FePbO3,Fe,Pb,O,,,,,1.42,-2
GePbO3,Ge,Pb,O,,,,,1.42,-2
HfPbO3,Hf,Pb,O,4.0,0.83,,,1.42,-2
KPbO3,K,Pb,O,1.0,1.64,,,1.42,-2
MgPbO3,Mg,Pb,O,2.0,0.89,,,1.42,-2
MnPbO3,Mn,Pb,O,,,,,1.42,-2
MoPbO3,Mo,Pb,O,,,,,1.42,-2
NaPbO3,Na,Pb,O,1.0,1.39,,,1.42,-2
NiPbO3,Ni,Pb,O,,,,,1.42,-2
OsPbO3,Os,Pb,O,,,,,1.42,-2
PPbO3,P,Pb,O,,,,,1.42,-2
PrPbO3,Pr,Pb,O,,,,,1.42,-2
PuPbO3,Pu,Pb,O,,,,,1.42,-2
RuPbO3,Ru,Pb,O,,,,,1.42,-2
SbPbO3,Sb,Pb,O,,,,,1.42,-2
SiPbO3,Si,Pb,O,4.0,0.4,,,1.42,-2
SnPbO3,Sn,Pb,O,4.0,0.81,,,1.42,-2
SrPbO3,Sr,Pb,O,2.0,1.44,,,1.42,-2
TcPbO3,Tc,Pb,O,,,,,1.42,-2
TiPbO3,Ti,Pb,O,,,,,1.42,-2
VPbO3,V,Pb,O,,,,,1.42,-2
ZnPbO3,Zn,Pb,O,2.0,0.9,,,1.42,-2
ZrPbO3,Zr,Pb,O,4.0,0.89,,,1.42,-2
AgPO3,Ag,P,O,,,,,1.42,-2
CsPO3,Cs,P,O,1.0,1.88,,,1.42,-2
CuPO3,Cu,P,O,,,,,1.42,-2
KPO3,K,P,O,1.0,1.64,,,1.42,-2
LiPO3,Li,P,O,1.0,0.92,,,1.42,-2
MnPO3,Mn,P,O,,,,,1.42,-2
NaPO3,Na,P,O,1.0,1.39,,,1.42,-2
RbPO3,Rb,P,O,1.0,1.72,,,1.42,-2
SnPO3,Sn,P,O,4.0,0.81,,,1.42,-2
TlPO3,Tl,P,O,,,,,1.42,-2
AgRuO3,Ag,Ru,O,,,,,1.42,-2
BaRuO3,Ba,Ru,O,2.0,1.61,,,1.42,-2
CaRuO3,Ca,Ru,O,2.0,1.34,,,1.42,-2
CdRuO3,Cd,Ru,O,2.0,1.31,,,1.42,-2
CsRuO3,Cs,Ru,O,1.0,1.88,,,1.42,-2
EuRuO3,Eu,Ru,O,,,,,1.42,-2
KRuO3,K,Ru,O,1.0,1.64,,,1.42,-2
LaRuO3,La,Ru,O,3.0,1.36,,,1.42,-2
LiRuO3,Li,Ru,O,1.0,0.92,,,1.42,-2
MgRuO3,Mg,Ru,O,2.0,0.89,,,1.42,-2
NaRuO3,Na,Ru,O,1.0,1.39,,,1.42,-2
NiRuO3,Ni,Ru,O,,,,,1.42,-2
NpRuO3,Np,Ru,O,,,,,1.42,-2
PmRuO3,Pm,Ru,O,3.0,1.144,,,1.42,-2
PrRuO3,Pr,Ru,O,,,,,1.42,-2
RbRuO3,Rb,Ru,O,1.0,1.72,,,1.42,-2
SrRuO3,Sr,Ru,O,2.0,1.44,,,1.42,-2
AgSbO3,Ag,Sb,O,,,,,1.42,-2
AlSbO3,Al,Sb,O,3.0,0.535,,,1.42,-2
BSbO3,B,Sb,O,3.0,0.27,,,1.42,-2
BeSbO3,Be,Sb,O,2.0,0.45,,,1.42,-2
BiSbO3,Bi,Sb,O,,,,,1.42,-2
CaSbO3,Ca,Sb,O,2.0,1.34,,,1.42,-2
CeSbO3,Ce,Sb,O,,,,,1.42,-2
CoSbO3,Co,Sb,O,,,,,1.42,-2
CsSbO3,Cs,Sb,O,1.0,1.88,,,1.42,-2
DySbO3,Dy,Sb,O,,,,,1.42,-2
EuSbO3,Eu,Sb,O,,,,,1.42,-2
HoSbO3,Ho,Sb,O,3.0,1.12,,,1.42,-2
InSbO3,In,Sb,O,3.0,0.92,,,1.42,-2
KSbO3,K,Sb,O,1.0,1.64,,,1.42,-2
LiSbO3,Li,Sb,O,1.0,0.92,,,1.42,-2
MgSbO3,Mg,Sb,O,2.0,0.89,,,1.42,-2
NaSbO3,Na,Sb,O,1.0,1.39,,,1.42,-2
NdSbO3,Nd,Sb,O,,,,,1.42,-2
NiSbO3,Ni,Sb,O,,,,,1.42,-2
PuSbO3,Pu,Sb,O,,,,,1.42,-2
RbSbO3,Rb,Sb,O,1.0,1.72,,,1.42,-2
ReSbO3,Re,Sb,O,,,,,1.42,-2
SmSbO3,Sm,Sb,O,,,,,1.42,-2
SrSbO3,Sr,Sb,O,2.0,1.44,,,1.42,-2
TlSbO3,Tl,Sb,O,,,,,1.42,-2
YSbO3,Y,Sb,O,3.0,1.075,,,1.42,-2
ZnSbO3,Zn,Sb,O,2.0,0.9,,,1.42,-2
AgSnO3,Ag,Sn,O,,,4.0,0.81,1.42,-2
AlSnO3,Al,Sn,O,3.0,0.535,4.0,0.81,1.42,-2
BaSnO3,Ba,Sn,O,2.0,1.61,4.0,0.81,1.42,-2
CaSnO3,Ca,Sn,O,2.0,1.34,4.0,0.81,1.42,-2
CdSnO3,Cd,Sn,O,2.0,1.31,4.0,0.81,1.42,-2
CoSnO3,Co,Sn,O,,,4.0,0.81,1.42,-2
CsSnO3,Cs,Sn,O,1.0,1.88,4.0,0.81,1.42,-2
DySnO3,Dy,Sn,O,,,4.0,0.81,1.42,-2
EuSnO3,Eu,Sn,O,,,4.0,0.81,1.42,-2
FeSnO3,Fe,Sn,O,,,4.0,0.81,1.42,-2
GaSnO3,Ga,Sn,O,3.0,0.62,4.0,0.81,1.42,-2
HfSnO3,Hf,Sn,O,4.0,0.83,4.0,0.81,1.42,-2
HoSnO3,Ho,Sn,O,3.0,1.12,4.0,0.81,1.42,-2
LaSnO3,La,Sn,O,3.0,1.36,4.0,0.81,1.42,-2
MgSnO3,Mg,Sn,O,2.0,0.89,4.0,0.81,1.42,-2
MnSnO3,Mn,Sn,O,,,4.0,0.81,1.42,-2
NiSnO3,Ni,Sn,O,,,4.0,0.81,1.42,-2
NpSnO3,Np,Sn,O,,,4.0,0.81,1.42,-2
RbSnO3,Rb,Sn,O,1.0,1.72,4.0,0.81,1.42,-2
ScSnO3,Sc,Sn,O,3.0,0.87,4.0,0.81,1.42,-2
SiSnO3,Si,Sn,O,4.0,0.4,4.0,0.81,1.42,-2
SrSnO3,Sr,Sn,O,2.0,1.44,4.0,0.81,1.42,-2
TaSnO3,Ta,Sn,O,,,4.0,0.81,1.42,-2
TcSnO3,Tc,Sn,O,,,4.0,0.81,1.42,-2
TiSnO3,Ti,Sn,O,,,4.0,0.81,1.42,-2
VSnO3,V,Sn,O,,,4.0,0.81,1.42,-2
YSnO3,Y,Sn,O,3.0,1.075,4.0,0.81,1.42,-2
YbSnO3,Yb,Sn,O,,,4.0,0.81,1.42,-2
ZnSnO3,Zn,Sn,O,2.0,0.9,4.0,0.81,1.42,-2
AlAgO3,Al,Ag,O,3.0,0.535,,,1.42,-2
BeAgO3,Be,Ag,O,2.0,0.45,,,1.42,-2
CoAgO3,Co,Ag,O,,,,,1.42,-2
EuAgO3,Eu,Ag,O,,,,,1.42,-2
FeAgO3,Fe,Ag,O,,,,,1.42,-2
KAgO3,K,Ag,O,1.0,1.64,,,1.42,-2
LaAgO3,La,Ag,O,3.0,1.36,,,1.42,-2
MnAgO3,Mn,Ag,O,,,,,1.42,-2
NaAgO3,Na,Ag,O,1.0,1.39,,,1.42,-2
NbAgO3,Nb,Ag,O,,,,,1.42,-2
PaAgO3,Pa,Ag,O,,,,,1.42,-2
RbAgO3,Rb,Ag,O,1.0,1.72,,,1.42,-2
ScAgO3,Sc,Ag,O,3.0,0.87,,,1.42,-2
SiAgO3,Si,Ag,O,4.0,0.4,,,1.42,-2
SmAgO3,Sm,Ag,O,,,,,1.42,-2
SrAgO3,Sr,Ag,O,2.0,1.44,,,1.42,-2
TaAgO3,Ta,Ag,O,,,,,1.42,-2
VAgO3,V,Ag,O,,,,,1.42,-2
YAgO3,Y,Ag,O,3.0,1.075,,,1.42,-2
AlCoO3,Al,Co,O,3.0,0.535,,,1.42,-2
BaCoO3,Ba,Co,O,2.0,1.61,,,1.42,-2
CaCoO3,Ca,Co,O,2.0,1.34,,,1.42,-2
CdCoO3,Cd,Co,O,2.0,1.31,,,1.42,-2
DyCoO3,Dy,Co,O,,,,,1.42,-2
ErCoO3,Er,Co,O,3.0,1.062,,,1.42,-2
EuCoO3,Eu,Co,O,,,,,1.42,-2
GdCoO3,Gd,Co,O,3.0,1.107,,,1.42,-2
HfCoO3,Hf,Co,O,4.0,0.83,,,1.42,-2
HoCoO3,Ho,Co,O,3.0,1.12,,,1.42,-2
InCoO3,In,Co,O,3.0,0.92,,,1.42,-2
KCoO3,K,Co,O,1.0,1.64,,,1.42,-2
LaCoO3,La,Co,O,3.0,1.36,,,1.42,-2
LuCoO3,Lu,Co,O,3.0,1.032,,,1.42,-2
MgCoO3,Mg,Co,O,2.0,0.89,,,1.42,-2
MnCoO3,Mn,Co,O,,,,,1.42,-2
NaCoO3,Na,Co,O,1.0,1.39,,,1.42,-2
NdCoO3,Nd,Co,O,,,,,1.42,-2
PaCoO3,Pa,Co,O,,,,,1.42,-2
PrCoO3,Pr,Co,O,,,,,1.42,-2
ScCoO3,Sc,Co,O,3.0,0.87,,,1.42,-2
SmCoO3,Sm,Co,O,,,,,1.42,-2
SrCoO3,Sr,Co,O,2.0,1.44,,,1.42,-2
TbCoO3,Tb,Co,O,,,,,1.42,-2
TiCoO3,Ti,Co,O,,,,,1.42,-2
TlCoO3,Tl,Co,O,,,,,1.42,-2
TmCoO3,Tm,Co,O,,,,,1.42,-2
VCoO3,V,Co,O,,,,,1.42,-2
YCoO3,Y,Co,O,3.0,1.075,,,1.42,-2
YbCoO3,Yb,Co,O,,,,,1.42,-2
ZnCoO3,Zn,Co,O,2.0,0.9,,,1.42,-2
ZrCoO3,Zr,Co,O,4.0,0.89,,,1.42,-2
AlInO3,Al,In,O,3.0,0.535,3.0,0.92,1.42,-2
BaInO3,Ba,In,O,2.0,1.61,3.0,0.92,1.42,-2
BeInO3,Be,In,O,2.0,0.45,3.0,0.92,1.42,-2
CaInO3,Ca,In,O,2.0,1.34,3.0,0.92,1.42,-2
CrInO3,Cr,In,O,,,3.0,0.92,1.42,-2
DyInO3,Dy,In,O,,,3.0,0.92,1.42,-2
ErInO3,Er,In,O,3.0,1.062,3.0,0.92,1.42,-2
EuInO3,Eu,In,O,,,3.0,0.92,1.42,-2
GdInO3,Gd,In,O,3.0,1.107,3.0,0.92,1.42,-2
HoInO3,Ho,In,O,3.0,1.12,3.0,0.92,1.42,-2
KInO3,K,In,O,1.0,1.64,3.0,0.92,1.42,-2
LaInO3,La,In,O,3.0,1.36,3.0,0.92,1.42,-2
MgInO3,Mg,In,O,2.0,0.89,3.0,0.92,1.42,-2
MnInO3,Mn,In,O,,,3.0,0.92,1.42,-2
NaInO3,Na,In,O,1.0,1.39,3.0,0.92,1.42,-2
NdInO3,Nd,In,O,,,3.0,0.92,1.42,-2
PmInO3,Pm,In,O,3.0,1.144,3.0,0.92,1.42,-2
PrInO3,Pr,In,O,,,3.0,0.92,1.42,-2
PuInO3,Pu,In,O,,,3.0,0.92,1.42,-2
RbInO3,Rb,In,O,1.0,1.72,3.0,0.92,1.42,-2
ScInO3,Sc,In,O,3.0,0.87,3.0,0.92,1.42,-2
SmInO3,Sm,In,O,,,3.0,0.92,1.42,-2
SrInO3,Sr,In,O,2.0,1.44,3.0,0.92,1.42,-2
TaInO3,Ta,In,O,,,3.0,0.92,1.42,-2
TbInO3,Tb,In,O,,,3.0,0.92,1.42,-2
TmInO3,Tm,In,O,,,3.0,0.92,1.42,-2
YInO3,Y,In,O,3.0,1.075,3.0,0.92,1.42,-2
YbInO3,Yb,In,O,,,3.0,0.92,1.42,-2
AlIrO3,Al,Ir,O,3.0,0.535,,,1.42,-2
BaIrO3,Ba,Ir,O,2.0,1.61,,,1.42,-2
BIrO3,B,Ir,O,3.0,0.27,,,1.42,-2
CaIrO3,Ca,Ir,O,2.0,1.34,,,1.42,-2
CdIrO3,Cd,Ir,O,2.0,1.31,,,1.42,-2
CsIrO3,Cs,Ir,O,1.0,1.88,,,1.42,-2
ErIrO3,Er,Ir,O,3.0,1.062,,,1.42,-2
EuIrO3,Eu,Ir,O,,,,,1.42,-2
KIrO3,K,Ir,O,1.0,1.64,,,1.42,-2
MgIrO3,Mg,Ir,O,2.0,0.89,,,1.42,-2
NaIrO3,Na,Ir,O,1.0,1.39,,,1.42,-2
PuIrO3,Pu,Ir,O,,,,,1.42,-2
